,Dimension,Number of Phenotypes,Vectors of probability,Std value,Accuracy,Euclidean Distance
0,4,4,"[array([0.8       , 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333]), array([0.01333333, 0.8       , 0.01333333, 0.01333333, 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333]), array([0.01333333, 0.01333333, 0.8       , 0.01333333, 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333]), array([0.01333333, 0.01333333, 0.01333333, 0.8       , 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333, 0.01333333, 0.01333333, 0.01333333, 0.01333333,
       0.01333333])]",2.0,0.94,1.11251
1,4,4,"[array([0.75      , 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667]), array([0.01666667, 0.75      , 0.01666667, 0.01666667, 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667]), array([0.01666667, 0.01666667, 0.75      , 0.01666667, 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667]), array([0.01666667, 0.01666667, 0.01666667, 0.75      , 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667, 0.01666667, 0.01666667, 0.01666667, 0.01666667,
       0.01666667])]",2.0,0.82,1.03709
2,4,4,"[array([0.7 , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02,
       0.02, 0.02, 0.02, 0.02, 0.02]), array([0.02, 0.7 , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02,
       0.02, 0.02, 0.02, 0.02, 0.02]), array([0.02, 0.02, 0.7 , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02,
       0.02, 0.02, 0.02, 0.02, 0.02]), array([0.02, 0.02, 0.02, 0.7 , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02,
       0.02, 0.02, 0.02, 0.02, 0.02])]",2.0,0.92,0.96167
3,4,4,"[array([0.65      , 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333]), array([0.02333333, 0.65      , 0.02333333, 0.02333333, 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333]), array([0.02333333, 0.02333333, 0.65      , 0.02333333, 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333]), array([0.02333333, 0.02333333, 0.02333333, 0.65      , 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333, 0.02333333, 0.02333333, 0.02333333, 0.02333333,
       0.02333333])]",2.0,0.61,0.88624
4,4,4,"[array([0.6       , 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667]), array([0.02666667, 0.6       , 0.02666667, 0.02666667, 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667]), array([0.02666667, 0.02666667, 0.6       , 0.02666667, 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667]), array([0.02666667, 0.02666667, 0.02666667, 0.6       , 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667, 0.02666667, 0.02666667, 0.02666667, 0.02666667,
       0.02666667])]",2.0,0.86,0.81082
5,4,4,"[array([0.55, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03,
       0.03, 0.03, 0.03, 0.03, 0.03]), array([0.03, 0.55, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03,
       0.03, 0.03, 0.03, 0.03, 0.03]), array([0.03, 0.03, 0.55, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03,
       0.03, 0.03, 0.03, 0.03, 0.03]), array([0.03, 0.03, 0.03, 0.55, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03,
       0.03, 0.03, 0.03, 0.03, 0.03])]",2.0,0.82,0.73539
6,4,4,"[array([0.5       , 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333]), array([0.03333333, 0.5       , 0.03333333, 0.03333333, 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333]), array([0.03333333, 0.03333333, 0.5       , 0.03333333, 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333]), array([0.03333333, 0.03333333, 0.03333333, 0.5       , 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333, 0.03333333, 0.03333333, 0.03333333, 0.03333333,
       0.03333333])]",2.0,0.56,0.65997
7,4,4,"[array([0.45      , 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667]), array([0.03666667, 0.45      , 0.03666667, 0.03666667, 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667]), array([0.03666667, 0.03666667, 0.45      , 0.03666667, 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667]), array([0.03666667, 0.03666667, 0.03666667, 0.45      , 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667, 0.03666667, 0.03666667, 0.03666667, 0.03666667,
       0.03666667])]",2.0,0.52,0.58454
8,4,4,"[array([0.4 , 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04,
       0.04, 0.04, 0.04, 0.04, 0.04]), array([0.04, 0.4 , 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04,
       0.04, 0.04, 0.04, 0.04, 0.04]), array([0.04, 0.04, 0.4 , 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04,
       0.04, 0.04, 0.04, 0.04, 0.04]), array([0.04, 0.04, 0.04, 0.4 , 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04,
       0.04, 0.04, 0.04, 0.04, 0.04])]",2.0,0.49,0.50912
9,4,4,"[array([0.35      , 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333]), array([0.04333333, 0.35      , 0.04333333, 0.04333333, 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333]), array([0.04333333, 0.04333333, 0.35      , 0.04333333, 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333]), array([0.04333333, 0.04333333, 0.04333333, 0.35      , 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333, 0.04333333, 0.04333333, 0.04333333, 0.04333333,
       0.04333333])]",2.0,0.41,0.43369
